title|task|tools|summary1|summary2|linkedinUrl
The Final Mission Begins|Today marks the start of my final mission for #100DaysOfAI & #100DaysOfNoCode: building my personal portfolio to showcase my journey.|Unicorn Platform, Dorik, Podia, Carrd, Webflow, Duda, Strikingly, Softr|After 85 days of learning, building, and personal growth through this challenge, I'm ready to create a portfolio that reflects my skills, accomplishments, and unique journey. Today's focus was on familiarizing myself with the mission and planning my approach to this culminating project. I envisioned what my portfolio will look like, identifying the projects and skills to feature.|Excited to bring this portfolio to life as the ultimate testament to my #100DaysOfAI & #100DaysOfNoCode journey, ready to share my story, skills, and progress with the world. This final mission not only highlights my achievements but also serves as a powerful tool for future opportunities.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7243992514569887744-UNiR?utm_source=share&utm_medium=member_desktop
Planning the Final Ascent|Today was dedicated to planning the structure and focus of my personal portfolio for the final mission of #100DaysOfAI.|AI tools, no-code platforms|I revisited my mission objectives, setting up a clear roadmap to ensure my portfolio captures my journey, skills, and growth. My planning focused on identifying essential elements, like showcasing projects with descriptions and achievements, and optional enhancements, such as videos and design elements for an interactive experience. Reviewing my skills and tools, I prioritized key elements to lay a strong foundation for building this week.|I'm excited to move forward and bring this portfolio to life, capturing every meaningful project and achievement from this journey as I approach the final stretch of my 100-day challenge.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-portfoliocreation-activity-7244355568977506306-MRRm?utm_source=share&utm_medium=member_desktop
Building My AI Portfolio Begins!|Today marked the first day of actively building my AI portfolio for the final mission in the #100DaysOfAI challenge, using Softr as my platform of choice.|Softr|I set up the initial structure for my portfolio website on Softr, focusing on showcasing key projects and experiences from my AI and no-code journey. Started by creating the layout and defining sections to feature project highlights, key skills, and important milestones. Shared a preview video of the initial setup and received early feedback for improvement.|I'm excited to expand on this foundation over the next few days, adding detailed project descriptions, AI demos, and interactive features to create a comprehensive showcase of my skills and journey through #100DaysOfAI. The journey of documenting my progress is truly inspiring me to wrap up this challenge strong!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-nocode-activity-7244747329419763713-p9J2?utm_source=share&utm_medium=member_desktop
Portfolio Progress – The Next Step!|Today marked the second day of building my AI portfolio, where I focused on refining the layout and adding key sections to showcase my #100DaysOfAI journey and achievements.|Softr|Made substantial progress in developing my portfolio site, adding dedicated sections for top AI projects and no-code work. Each section now includes descriptions and highlights to emphasize key skills and experiences. I also adjusted the layout to improve navigation and user experience, with a sneak peek shared to gather initial feedback.|The site is beginning to reflect the journey and growth from this challenge. Over the coming days, I'll be incorporating project demo videos and a full tools overview to finalize the portfolio's interactive elements and make it a comprehensive showcase of my learning.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-portfoliobuilding-aiprojects-activity-7245107675082997760-B3YW?utm_source=share&utm_medium=member_desktop
Reflecting and Finishing Up!|Today was all about the final touches on my portfolio, bringing together the progress from #100DaysOfAI into one cohesive showcase.|Softr|Added the last essential sections, including Daily Progress, AI Tools, and Featured Projects, to capture my learning journey. Seeing everything in one place is incredibly rewarding, a testament to both the skills I’ve built and the projects I’ve brought to life. I also considered design tweaks for clarity and accessibility, making it user-friendly and engaging for any visitor.|The portfolio has grown into a digital story of my transformation in AI. Tomorrow, I’ll be reviewing it with fresh eyes before the big reveal. Excited to share the journey, reflect, and continue growing beyond the 100 days.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-ai-activity-7245460312773062656-rvZ3?utm_source=share&utm_medium=member_desktop
Mission Accomplished! 🎉|I’ve officially wrapped up the final mission of the #100DaysOfAI challenge by building a portfolio that encapsulates my journey and achievements from these past 90 days.|Softr|Shared the portfolio link today as a milestone accomplishment! Using Softr, I created a dynamic, no-code portfolio that displays my AI projects, reflections, and the progress I’ve made throughout this challenge. It was rewarding to reflect on my journey, seeing how each day contributed to this final result. Highlighted my favorite projects, insights, and tools, capturing the essence of my growth in both AI and no-code.|Building this portfolio was challenging yet fulfilling, especially balancing new learnings with practical application. Reflecting on this journey, I’m proud of my progress and excited to keep evolving. Moving forward, I’ll be adding new projects to the portfolio and exploring other platforms to showcase my skills and insights further.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-ai-activity-7245839743609921536-h6aE?utm_source=share&utm_medium=member_desktop
Rest & Reflect Day|Taking a step back today to relax and reflect on the week’s progress as part of #100DaysOfAI. A day dedicated to appreciating the journey so far and unwinding before the final stretch.|None|Today I rested and reviewed my journey, especially reflecting on building my AI portfolio. Over the past week, I structured, polished, and showcased my favorite projects, achievements, and no-code skills using Softr. I engaged with the community, learned from professionals, and grew my network. Today’s break allowed me to see the bigger picture and understand how far I’ve come.|Reflecting on this journey has been as valuable as each step forward. Feeling recharged, grateful, and ready for the challenge’s final days with a renewed focus.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-reflection-activity-7246187512438632448-GnVw?utm_source=share&utm_medium=member_desktop
Reflecting on Growth and Resilience|Today's focus was on deep reflection over the entire #100DaysOfAI journey, highlighting the biggest challenges, lessons learned, and skills gained.|None|Today's task centered on journaling about the journey so far—reflecting on obstacles faced, strategies that helped me push through, and the self-discoveries made along the way. Realizing that challenges with AI tools and no-code platforms taught me resilience and adaptability, I documented my journey’s biggest hurdles and the growth that came from overcoming them.|This process of reflection has highlighted my growth not just in technical skills but in problem-solving, resilience, and self-belief. These insights will guide me beyond this challenge, equipping me to tackle future projects with confidence and adaptability. Grateful for this journey and looking forward to applying these new skills!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-reflection-activity-7246521158915760128-EPlq?utm_source=share&utm_medium=member_desktop
Reflecting on Achievements and Preparing for New Adventures|Today's activity kicks off a week of reflection, gratitude, feedback, and celebration, marking the final days of the #100DaysOfAI journey.|None|As I approach the end of this incredible learning experience, I’m taking time to reflect on the victories, appreciate the present, and gear up for future adventures. Acknowledging both the achievements and challenges I’ve faced, I’m ready to celebrate every step taken along this journey and prepare for what lies ahead.|Reflection is not just about looking back but preparing for what’s next. With gratitude for every lesson learned and challenge overcome, I'm excited for the final stretch of this journey. These moments of reflection set a strong foundation for future endeavors, and I’m eager to celebrate with everyone who’s been a part of this experience!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7246922942356340736-L0rx?utm_source=share&utm_medium=member_desktop
Reflecting on Progress and Charting the Path Ahead|Today's focus was on reflecting on the journey of the #100DaysOfAI, assessing achievements, growth, and setting intentions for the future.|None|Today, I dedicated time to deeply reflect on the past 94 days of this AI journey. From mastering new tools to overcoming obstacles, each day has built a foundation of resilience and skill that fuels my confidence and growth. By exploring 'What,' 'So What,' and 'Now What,' I've mapped out both my personal and technical growth and am eager to apply these insights to new opportunities.|Reflection serves as a powerful marker of growth and resilience. Looking back, I've learned that my only limits are those I place on myself. As I move forward, I'm excited to leverage these skills and insights in future projects and personal development. This journey is just the beginning of a lifelong commitment to growth and innovation.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7247253727529566210-zME9?utm_source=share&utm_medium=member_desktop
Pushing Boundaries and Reaching Milestones!|Today's focus was on showcasing a project that exemplifies my growth and achievements during the #100DaysOfAI challenge.|None|Today, I spotlighted my most exciting project: a sentiment analysis tool created using ChatGPT and integrated with no-code platforms. This tool effectively identifies emotions in text, demonstrating the capabilities of AI and no-code solutions. This project was a pivotal moment in my learning journey, showcasing both my creativity and technical growth.|Through this challenge, I’ve learned how to leverage AI with no-code tools, and I've seen firsthand the power of no-code in automating tasks and simplifying complex workflows. I'm eager to continue this journey, exploring further possibilities and bringing even more innovative ideas to life!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-nocodetools-activity-7247671053743783938-wCp6?utm_source=share&utm_medium=member_desktop
Reflecting on My Hero’s Journey|Today's focus was on sharing the epic tale of my journey during the #100DaysOfAI challenge.|None|As I near the final days of this incredible challenge, I’ve been reflecting on how much this journey has transformed me—both personally and professionally. I started with the goal of diving deep into AI and exploring the power of no-code tools, pushing myself to tackle challenges and build projects without writing a single line of code.|The path wasn’t always easy. Learning new tools like Softr and integrating AI into no-code platforms brought its own set of challenges. Moments of frustration taught me to be a better problem solver and adapt quickly. One of my proudest moments was creating my AI-powered portfolio using no-code tools, which marked a turning point in my journey. Now, with only a few days left, I’m excited to continue applying these skills and confident in tackling complex AI projects. The learning and growth have been rewarding beyond measure.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-nocode-activity-7248600856512634880-uRA0?utm_source=share&utm_medium=member_desktop
Grateful for the Support and Growth During #100DaysOfAI|Today's focus was on expressing gratitude for the journey and those who have supported me.|None|As Day 97 rolls in, I’m taking a moment to pause and reflect on this incredible journey. Today, it’s all about expressing gratitude—for the lessons learned, the growth achieved, and most importantly, the amazing people who’ve been part of this challenge.|I’ve had the honor of learning alongside some truly inspiring individuals: Louise Mutua 🌻, Rita C. 🌀💯, Loretta Goodwin, Ph.D. 💯, VIGNESHWARAN S, Andres Rasch 💯, and Bhavesh Bankar 💯 —your support and energy throughout this challenge have been a constant source of motivation. A heartfelt thank you to Max Haining 💯 and Scott Colenutt for your purposeful leadership and unwavering passion. Your mentorship has been a guiding force, helping me overcome challenges and remain focused throughout this journey. This challenge has been about more than just AI—it’s been about building a community, growing together, and supporting one another every step of the way. As I look forward to these final days, I’m filled with gratitude for the people who’ve made this journey so enriching.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-gratitude-activity-7248626246337585152-JPkK?utm_source=share&utm_medium=member_desktop
Spreading the Ripple Effect!|Today's focus was on expressing gratitude and sharing knowledge with others.|None|As I dive deeper into Day 98 of the #100DaysOfAI challenge, I'm reminded of the incredible journey we've all shared. Today is dedicated to a simple yet profound act: expressing gratitude and sharing knowledge.|Every lesson learned and every tool mastered has the power to inspire and uplift others. I reached out to a colleague interested in no-code tools and shared insights from my journey. We went through a quick tutorial on how to use Softr for building projects without writing a line of code. Seeing their excitement reminded me of my own initial curiosity and motivation to learn. Teaching others not only reinforces my own learning but also nurtures a community of continuous growth and support. Let’s keep the momentum going—every time we share, we empower someone else to embark on their own journey.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-rippleeffect-activity-7248696316476727296-X9S1?utm_source=share&utm_medium=member_desktop
The Power of Feedback – Day 99 of #100DaysOfAI|Today's task centered around providing feedback and sharing insights about the 100-day challenges.|None|Day 99 of #100DaysOfAI and I’ve officially completed my feedback for this incredible challenge! Today was all about providing feedback and sharing my thoughts on what worked, what could improve, and how this challenge has impacted me personally.|Feedback isn’t just about pointing out what could be better—it’s about celebrating progress, sharing insights, and helping guide the next generation of learners. This experience has been so much more than a 100-day challenge—it’s been a community-driven adventure where we’ve supported each other, shared knowledge, and grown together. Thank you to everyone involved—mentors, fellow learners, and the amazing support team—for making this journey so amazing. Let’s keep the momentum going as we prepare for the final day!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7249068609417719808-zGk0?utm_source=share&utm_medium=member_desktop
Proudly Earned the Completionist Badge for #100DaysOfAI|Today marks the culmination of 100 days of dedication, growth, and triumph.|Runway, Kapwing, Chipp, Unicorn Platform, Softr, Perplexity, Fathom, Guidde, AskYourPDF, Albus, Canva, Galileo AI, ElevenLabs, Claude, ChatGPT|Day 100 of #100DaysOfAI is here, and what a transformative journey it’s been! Over the past 100 days, I’ve used a variety of AI and no-code tools to learn, create, and build. From websites to videos to AI-powered apps, this journey has been all about growth.|The tools that shaped my journey include Runway, Kapwing, Chipp, Unicorn Platform, and Softr for building apps, videos, and websites; Perplexity, Fathom, Guidde, AskYourPDF, and Albus for research and insights; and Canva, Galileo AI, and ElevenLabs for creating designs and audio projects. A special thanks to my mentors Max Haining and Scott Colenutt, and a huge shoutout to my fellow learners Loretta Goodwin, Ph.D., VIGNESHWARAN S, Andres Rasch, Bhavesh Bankar, and more for their support and motivation. The journey doesn’t end here; I’m excited to continue growing and learning in the world of AI!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7249355659748507648-LDhM?utm_source=share&utm_medium=member_desktop
